Type,Employee Number,First Name,LastName,Sex,Work Location,Deduction Rate,Hourly Wage,Hours Per Week,Weeks Per Year, Yearly Salary
F,5,Alan,Ma,M,San Francisco,0.0,,,,1000000.0,1000000.0,1000000.0,
P,10,Cindy,He,F,Toronto,0.01,30.0,20.0,40.0,,24000.0,23760.0,,
F,0,ex. Johnathan,ex. Smith,M,ex. Mississauga,0.01,,,,30.0,30.0,29.7,
F,100,jonathan,smith,M,ex. Mississauga,5.0,,,,300.0,300.0,-1200.0,
P,1,Johnathan,Smith,M,Mississauga,0.01,30.0,20.0,40.0,,24000.0,23760.0,,
F,6,David ,Lu,M,Toronto,0.0,,,,100000.0,100000.0,100000.0,
P,2,Jason ,Liu,M,Mississauga,0.01,30.0,20.0,40.0,,24000.0,23760.0,,
F,7,Yinuo ,Wang,M,New York City,0.0,,,,100000.0,100000.0,100000.0,
F,123412312,johnathan,smith,O,mississauga,0.01,,,,54.0,54.0,53.46,
F,3,William,King,M,Toronto,0.0,,,,100000.0,100000.0,100000.0,
P,8,Kairui,Zeng,M,Toronto,0.01,30.0,20.0,40.0,,24000.0,23760.0,,
F,9,Sunny ,Wang,F,New York City,0.0,,,,500000.0,500000.0,500000.0,
P,1234,jonathan,smith,M,ex. Mississauga,5.0,4.0,5.0,34.0,,680.0,-2720.0,,
